ID,Cluster,domains,projects,availability,work_dist,mentoring,anti_pref
30,-1,"Image Processing
Computer Vision
Fraud Detection
Retail Store Automation",,"weekday afternoons, weekend mornings",Consistent spread starting now,,
26,-1,"E-Commerce, Retail, Planning, Optimization and Strategy, games","No, I do not have any idea","weekdays & weekends (early morning, afternoon)","Focused, quick-turnaround sprints in Mar/April",Yes,
27,-1,"Music and Media
Planning
Game","We can use AI to generate a person's voice for singing. While humans often sing off-key, AI-generated voices stay perfectly in tune, helping people who can't sing well to still create beautiful music.",Weekday morning,Consistent spread starting now,,
53,-1,"1. social science/governmental topics
2. planning
3. music & media
4. everything else",No preference,"Weekday afternoons, weekends anytime.",Consistent spread starting now,,
29,-1,"1. Music and Media (NLP)
2. Mini AI/Distributed AI
3. Game (Game Theory)",Mimicking ant colony behaviour to find a goal and then find best way to reach it.,"Anytime except 9 AM - 2 PM on Monday, Wednesday and Thursday.
I prefer afternoons and evenings but it is not a hard requirement.",Consistent spread starting now,,
52,-1,Games and Music,,"Every day in the evenings, typically after 5pm ",Consistent spread starting now,,
51,-1,"- Topics within civil engineering (structural optimization, layout of IoT system for infrastructure, optimal setup of catch basins for stormwater management)
- Robotics/image processing (again under the sensors/IoT category)
- Project and financial management
- Music/games",Nothing super concrete yet,Most weekdays after 2 pm,Consistent spread starting now,,
32,-1,"Biotech, Finance, Natural Language",,Weekends,"Focused, quick-turnaround sprints in Mar/April",Yes,
33,-1,"Language, music & media, healthcare, games, finance",,weekends any time ,Consistent spread starting now,,
34,-1,"sports, golf, health & wellness",AI + computer vision golf swing coach/analytics,"Mon-Wed 8pm - 10pm
Fri-Sun 2pm - 4pm",Consistent spread starting now,,
35,-1,"Golf, sports, health & wellness",Golf swing coach analysis using AI/Computer Vision,"Mon-Wed 8pm - 10pm, Fri-Sun 2pm - 4pm",Consistent spread starting now,,
36,-1,"1. Sports
2. Golf
3. Health / wellness",1.AI Golf Swing Coach ,Mon 8pm - 10pm Wednesday 8pm - 10pm Thursday 8pm - 10pm,Consistent spread starting now,,
37,-1,"Networking, IOT, Robotics",I do not have a specific project idea.,Weekday afternoons/eveings or Weekends,Consistent spread starting now,,
38,-1,"1. Robotics
2. AI based Computer Vision projects
3. Planning
4. Games",,"Weekday Evenings
Saturday Morning- Evening",Consistent spread starting now,,
39,-1,"1) AI for Healthcare 
2) AI for some Fintech field 
3) Robotics but time taking apparently.","1) AI for Healthcare:- I think a website which would take in images and data about the xrays, blood reports, etc and help you figure out the risk of cancer. This would help many young people out there. We can build it based on a medical image analysis system. But, it would be difficult to use data as such. Probability of getting cancer in the future would not always be precise but a large dataset would help. 2) AI for Fintech - A small AI project from scratch or core for financial services would serve as a project too. However, I donít have any solid idea in this field at the moment.","Whole Tuesday be it morning or evening 
Weekday evenings too depending on our respective schedules because of the office hours at times. 
Whenever required, weekends too!",Consistent spread starting now,,I would like to work with people from other cultures. This is just for making new friends and I am okay with anyone as my parter.
50,-1,"1) Optimizing( I know it is pretty vague but I say this because the examples in class about shortening the time of travel while considering many factors really peaked my interest.)
2) Pattern recognition 
3) Image processing
4) Speech to text
5) Recommendation systems
 ",,weekends,"Focused, quick-turnaround sprints in Mar/April",,
41,-1,"Healthcare, neuroinformatics, music & media",Predictive modeling for any mental health and identifying biomarkers,weekday evenings and weekend mornings,Consistent spread starting now,,
47,-1,"Planning
Robotics
Games
Computer Vision","Something multi-agent in a partially observable/unknown environment with limited/no communication between agents? Maybe playing the multiplayer game ""Overcooked.""","Tuesdays and Fridays between 12-6 PM, Monday; mornings or evenings (not between 12-6 PM) on weekends; late at night most days (after 8 PM or so).",Consistent spread starting now,Yes,
43,-1,"1. Games  
2. Robotics - Computer Vision and Reinforcement Learning
3. Education and Learning ","1.  AI-powered study assistant that generates custom quizzes, summarises key concepts, and suggests revision schedules based on user input.","weekdays evening - except tuesdays and Fridays - class from 3.25pm to 5.05pm
weekend mornings",Consistent spread starting now,,
44,-1,"Media (Processing video/image/text data to gather insights), Games (an AI agent that can play LinkedIn games like Tango, Queens or Sudoku), Robotics (Path Planning)","1. Develop an AI agent that processes a meeting recording (from Teams or Zoom) to generate a meeting transcript, which is then summarized into (a) Discussion Points (b) Assigned Action Items and (c) Next Steps | 2. Processing medical imaging data to detect diseases - like cancer from cell slides, by identifying the relevant visual markers)","Weekday evenings - from 3 pm, (except on Mondays and Thursdays - available after 6pm)
Weekend mornings",Consistent spread starting now,,
25,-1,"1. Gaming
2. Robotics
3. Planning/designing","1. Making use of Neural networks in predicting your opponents strategy in a game of chess, along with which moves would be preferred.",weekday evenings or weekends post lunch.,Consistent spread starting now,,
24,-1,"Finance, Banking, music & media",Not sure,weekday afternoons and evenings,Consistent spread starting now,,45
46,-1,"1) Games, 2) Robotics, 3) Planning, 4) Music and Media",,"Monday, Wednesday and Thursday evenings, Weekend mornings",Consistent spread starting now,,
